LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,DaysPastDue,OriginalValue,CreditScore,Term,Mo_Term,Mo_Payment,Rem_Term,Seasoning,Bad
641,4237.51,15.95,237.31,0,14025,562,130,31,512.59,9,0.71,0
642,2584.18,18.92,464.3,0,9375,554,57,68,464.30,6,0.91,0
643,2530.54,16.89,261.37,0,8000,579,124,33,564.56,5,0.85,0
644,1186.74,17.94,258.24,0,9675,487,117,35,557.80,2,0.94,0
645,4238.51,17.97,331.23,25,14850,566,120,36,662.46,7,0.81,0
646,2710.67,18.01,415.87,931,6250,622,55,72,415.87,7,0.90,1
647,4357.36,17.93,229.02,0,11925,561,140,31,494.68,10,0.68,0
648,4104.53,15.95,211.69,0,9450,644,130,33,457.25,10,0.70,0
649,5237.39,17.94,246.7,12,17725,655,136,33,532.87,11,0.67,0
650,2659.93,15.94,275.66,0,10850,659,143,27,595.43,5,0.81,0
651,2942.21,14.9,277.74,0,19775,584,139,31,599.92,5,0.84,0
652,7298.39,17.95,289.52,6,14900,612,126,31,625.36,13,0.58,0
653,6553.36,15.95,269.8,0,15900,631,132,32,582.77,12,0.63,0
654,4163.4,17.93,233.7,97,7075,536,136,22,504.79,9,0.59,0
655,1545.16,18.88,269.45,48,7750,523,117,31,582.01,3,0.90,0
656,1389.73,17.93,245.29,0,11250,523,134,31,529.83,3,0.90,0
657,13119.98,18.45,543.87,0,11975,528,72,66,543.87,30,0.55,0
660,11080.31,18.43,416.78,45,10550,573,72,71,416.78,34,0.52,0
661,9727.14,18.42,369.44,58,9300,577,71,70,369.44,34,0.51,0
662,8743.16,20.98,340,1311,3375,523,46,66,340.00,34,0.48,1
663,9027.56,21,333.95,888,3850,440,50,64,333.95,37,0.42,1
665,3294.9,27.26,154.48,0,4350,539,108,35,308.96,12,0.66,0
666,11395.79,15.99,458.08,0,20800,675,74,62,458.08,30,0.52,0
670,6333.05,18.9,478.86,0,10900,654,60,66,478.86,15,0.77,0
671,8347.06,21,454.98,0,9925,652,65,66,454.98,22,0.67,0
672,2245.42,21,418.57,17,8075,541,62,54,418.57,6,0.89,0
673,4250.99,21,486.11,0,10625,512,60,66,486.11,10,0.85,0
674,3037.1,21,336.75,0,11600,795,60,70,336.75,10,0.86,0
676,5218.54,23.99,381.05,0,9475,523,66,66,381.05,16,0.76,0
677,5382.4,19,822.92,7,16075,459,62,66,822.92,7,0.89,0
678,1017.24,18,568.84,0,11925,497,62,67,568.84,2,0.97,0
680,14969.8,18.44,596.96,118,18200,426,70,66,596.96,32,0.52,0
681,3610.36,22.99,257.66,0,5600,598,60,68,257.66,16,0.76,0
682,10666.77,18.35,434.23,0,12000,522,74,68,434.23,31,0.54,0
683,4955.39,21.99,412.83,0,7725,625,60,68,412.83,14,0.79,0
684,8343.85,18.41,392.84,0,10300,554,70,68,392.84,26,0.62,0
687,8795.55,20.81,265,1125,8100,594,77,25,572.40,18,0.28,1
688,3034.6,18.4,309.08,0,6825,707,68,66,309.08,11,0.83,0
689,2609.65,18.49,327.3,16,10450,506,67,66,327.30,9,0.86,0
690,3703.98,23.99,315,1,6825,569,65,66,315.00,14,0.79,0
691,2040.26,18.58,379.23,0,8425,537,63,68,379.23,6,0.91,0
692,5772.26,18.43,386.21,140,9325,551,69,68,386.21,17,0.75,1
693,1346.53,21.99,312.26,0,6475,599,66,68,312.26,5,0.93,0
694,1559.83,18.58,459.05,0,18500,502,63,69,459.05,4,0.94,0
695,2373.19,22.99,319.37,68,6725,570,60,72,319.37,8,0.89,0
696,18747.45,18.37,579.43,0,18775,559,79,57,579.43,45,0.21,0
697,9518.56,18.59,615.35,4,15400,481,60,67,615.35,18,0.73,0
698,11488.3,18.01,390,0,27425,659,125,32,842.40,15,0.53,0
699,3475.33,18.09,180,0,9225,716,120,31,388.80,10,0.68,0
700,8427.57,16.69,600,0,17800,595,65,71,600.00,16,0.77,0
701,7786.91,20.99,354.33,464,7500,648,60,66,354.33,28,0.58,1
702,7379.41,20.52,480,1007,5550,572,48,73,480.00,18,0.75,1
703,21560.7,18.43,680.88,111,20625,537,74,66,680.88,44,0.33,0
704,11974.58,18.59,431.37,18,12975,562,68,70,431.37,37,0.47,0
705,8060.49,29.9,1179.36,47,28375,603,48,67,1179.36,8,0.88,0
706,5544.85,18.19,215,40,10550,507,116,34,430.00,14,0.59,0
707,3592.77,17.69,215,61,8425,529,124,31,464.40,8,0.74,0
708,4771.19,18.2,215,54,6925,559,120,31,464.40,11,0.65,0
709,6794.2,20.99,496.29,23,10525,645,59,54,496.29,16,0.70,0
710,8073.31,18.23,379.55,26,10600,609,77,68,379.55,26,0.62,0
711,5194.7,23.81,450.55,22,11850,616,72,73,450.55,13,0.82,0
712,5501.36,23.81,442.76,18,9825,617,72,66,442.76,14,0.79,0
713,2208.06,18,464.31,0,9350,542,52,69,464.31,5,0.93,0
714,1802.73,18,431.67,17,16000,480,48,48,431.67,4,0.92,0
715,2000.32,18.74,374.96,0,9600,570,60,68,374.96,6,0.91,0
716,4477.69,22,377.08,54,8550,570,66,67,377.08,14,0.79,0
717,2356.75,21,429.87,0,8400,589,72,69,429.87,6,0.91,0
718,3070.94,18.74,324.27,0,9200,641,60,69,324.27,10,0.86,0
719,2532.09,18.74,307.44,0,6600,564,60,63,307.44,9,0.86,0
720,6950.23,24.23,379.16,47,8750,593,64,71,379.16,23,0.68,0
722,4781.92,23.99,510.46,123,7200,523,53,59,510.46,10,0.83,1
723,4180.37,17.04,423,13,8475,606,52,70,423.00,11,0.84,0
724,7447.14,18.01,555,3,9300,595,1923,66,555.00,15,0.77,0
726,6698.55,17.7,250,75,10000,690,121,31,540.00,14,0.55,0
727,6404.55,18.07,240,26,11350,440,130,31,518.40,14,0.55,0
729,3909.99,16.09,275,19,14675,663,116,31,594.00,7,0.77,0
730,5977.56,18.09,300,0,12150,678,115,32,648.00,10,0.69,0
731,8274.84,18.08,290,8,13625,587,130,31,626.40,15,0.52,0
732,6239.45,17.23,305,5,14775,608,117,31,658.80,10,0.68,0
733,3841.03,18.04,275,0,10450,586,106,31,594.00,7,0.77,0
734,7888.54,18.55,400.48,4,11475,514,66,66,400.48,24,0.64,0
735,10118.94,21.99,425.1,63,10425,536,66,72,425.10,32,0.56,0
736,8591.86,16,458.08,0,14825,616,66,73,458.08,22,0.70,0
737,7469.36,18,373.36,2,9600,491,64,66,373.36,24,0.64,0
