LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,DaysPastDue,OriginalValue,CreditScore,Term,Mo_Term,Mo_Payment,Rem_Term,Seasoning,Bad
1644,15823.54,20.92,225.36,61,9150,519,149,49,486.78,48,0.02,0
1645,6925.34,14.99,178.87,2,7950,617,132,45,386.36,20,0.56,0
1646,3420.38,17.93,259.32,0,10125,543,132,52,560.13,6,0.88,0
1647,8322.28,14.94,174.73,6,7550,588,134,49,377.42,26,0.47,0
1648,11525.12,19.92,214.71,33,10550,472,136,24,463.77,32,-0.33,0
1649,13556.26,19.84,272.32,0,12775,521,133,49,588.21,29,0.41,0
1650,8590.32,20.95,495,132,9400,529,63,108,495.00,21,0.81,1
1651,6064.54,14.98,345,0,8600,631,60,96,345.00,20,0.79,0
1652,8250.37,20.99,159.6,173,6075,528,130,49,344.74,31,0.37,1
1653,8300.39,20.92,165.02,0,7450,570,143,50,356.44,30,0.40,0
1654,1864.6,21.98,181.77,0,4275,668,90,39,392.62,5,0.87,0
1655,5881.79,21.99,200.94,20,6675,607,106,45,434.03,16,0.64,0
1656,1251.89,21.99,228.86,6,7350,608,90,49,494.34,3,0.94,0
1657,1747.12,27.72,150,0,8350,541,82,29,324.00,6,0.79,0
1658,3445.56,22.72,300,39,6500,590,46,98,300.00,13,0.87,0
1659,5443.92,16.93,380.05,0,8200,657,48,49,380.05,16,0.67,0
1660,4877.15,16.92,375,53,8725,584,49,117,375.00,14,0.88,0
1661,14590.1,16.86,600,0,18100,556,62,123,600.00,30,0.76,0
1662,7489.08,19.79,450,0,11600,560,58,114,450.00,20,0.82,0
1665,7318.59,20.75,500,0,13975,562,52,112,500.00,17,0.85,0
1668,3663.98,20.8,500,0,7900,669,40,112,500.00,8,0.93,0
1669,5650.83,20.16,525,0,13300,652,49,108,525.00,12,0.89,0
1670,4726.27,20.8,450,9,8475,660,44,104,450.00,12,0.88,0
1671,14355.86,18.75,650,0,16925,421,53,123,650.00,27,0.78,0
1672,8402.29,19.99,454.67,0,10325,632,60,116,454.67,22,0.81,0
1673,1918.91,22,265.25,0,3850,584,42,58,265.25,8,0.86,0
1674,13256.56,20.7,200,551,8650,500,133,54,432.00,44,0.19,1
1675,5877.04,23.19,236,0,5500,603,130,56,509.76,13,0.77,0
1676,6098.01,23.9,275,5,12850,469,94,49,594.00,12,0.76,0
1677,8365.48,23.12,210,26,10275,591,130,50,453.60,23,0.54,0
1678,9779.62,16.87,225,0,13625,522,125,23,486.00,24,-0.04,0
1679,10705.07,20.21,250,110,10800,527,112,52,540.00,24,0.54,0
1680,9466.02,23.29,250,0,11350,505,120,52,540.00,22,0.58,0
1681,7185.82,20.08,225,61,8600,483,106,51,486.00,17,0.67,0
1682,3962.43,17.14,250,0,11225,676,114,23,540.00,8,0.65,0
1683,3326.63,20.34,250,0,9250,556,98,832,540.00,7,0.99,0
1684,8213.71,19.64,250,124,9850,495,102,51,540.00,18,0.65,0
1685,7705.94,20.58,250,48,9450,527,107,48,540.00,17,0.65,0
1686,8121.89,23.46,250,12,11075,534,114,50,540.00,18,0.64,0
1687,5697.69,20.25,275,40,13225,500,97,44,594.00,11,0.75,0
1688,7187.44,20.61,275,0,9750,593,98,48,594.00,14,0.71,0
1689,5926.68,19.99,284.75,0,6375,644,60,107,284.75,26,0.76,0
1690,1142.84,22.99,305.46,0,7650,719,36,98,305.46,4,0.96,0
1691,2430.7,24.99,260.59,0,5150,549,60,116,260.59,10,0.91,0
1692,2744.89,21.99,258.78,0,2900,554,51,71,258.78,12,0.83,0
1693,5573.36,20.02,372.43,0,8525,656,51,50,372.43,17,0.66,0
1694,7064.25,19.99,450.18,40,13325,599,63,57,450.18,18,0.68,0
1695,9920.81,19.99,439.29,6,12775,693,60,58,439.29,29,0.50,0
1696,5934.72,22.99,397.55,46,6050,592,49,117,397.55,18,0.85,0
1697,2224.98,24.99,424.48,0,10375,661,60,118,424.48,6,0.95,0
1698,1860.6,29.99,287.36,2,2250,615,40,110,287.36,7,0.94,0
1699,1065.17,29.99,255.76,9,3750,550,36,104,255.76,4,0.96,0
1700,1337.17,29.99,296.34,0,4175,578,39,94,296.34,5,0.95,0
1701,1129.2,29.99,387.42,0,5025,517,39,113,387.42,3,0.97,0
1703,5876.43,21,349,0,7175,534,55,113,349.00,20,0.82,0
1704,2731.98,21,378,0,6775,514,55,108,378.00,8,0.93,0
1705,7319.83,21,435,16,8550,542,55,109,435.00,20,0.82,0
1706,7176.28,21,274,106,9475,507,63,99,274.00,35,0.65,0
1707,2863.22,21,191,0,9600,612,55,115,191.00,18,0.84,0
1708,13012.03,21,558,0,16850,497,62,127,558.00,30,0.76,0
1709,8847.07,21,455,0,13250,583,56,109,455.00,24,0.78,0
1710,4976.58,21,442,0,10450,590,72,124,442.00,13,0.90,0
1711,4565.02,21,406,0,7275,586,54,109,406.00,13,0.88,0
1712,10682.27,21,517,0,15550,568,59,102,517.00,26,0.75,0
1713,9673.88,21,475,0,9900,579,60,113,475.00,25,0.78,0
1714,9135.05,21,396,0,6500,638,62,100,396.00,30,0.70,0
1715,11959.66,21,517,0,14000,629,61,92,517.00,30,0.67,0
1716,7284.69,21,568,134,7000,566,60,53,568.00,15,0.72,1
1717,8240.2,21,436,128,8750,543,54,97,436.00,23,0.76,1
1718,5705.97,21,406,0,10075,488,54,110,406.00,16,0.85,0
1719,7550.46,21,406,0,8450,589,58,105,406.00,23,0.78,0
1720,8509.01,21,464,67,11850,537,55,60,464.00,22,0.63,0
1721,5256.55,21,335,68,5325,627,56,96,335.00,19,0.80,0
1722,4595.7,21,389,0,5325,532,54,114,389.00,13,0.89,0
1723,11532.55,21,450,64,10550,612,62,122,450.00,34,0.72,0
1724,9430.83,21,435,7,9400,607,57,109,435.00,27,0.75,0
1725,4790.92,21,364,0,6625,523,57,106,364.00,15,0.86,0
1726,1921.62,18,669,0,12500,570,54,105,669.00,3,0.97,0
1727,1852.02,21,298,0,2300,622,50,55,298.00,7,0.87,0
1728,2577.86,17.04,678.9,0,19450,755,48,103,678.90,4,0.96,0
1729,6307.92,16.89,298.7,40,15350,619,104,49,645.19,11,0.78,0
1730,4214.06,16.9,645.24,0,11100,673,48,115,645.24,7,0.94,0
1731,7592.86,16.81,284.16,26,13950,622,104,46,613.79,14,0.70,0
1732,4102.99,16.82,291.38,82,9625,609,108,46,629.38,7,0.85,0
1733,8981.74,16.82,367.44,0,24025,653,104,43,793.67,12,0.72,0
1734,8607.81,18,265.78,0,14075,603,107,55,574.08,17,0.69,0
1735,11468.13,16.83,312.87,20,15500,566,107,51,675.80,20,0.61,0
1736,5607.25,16.82,277.72,0,11400,714,96,51,599.88,10,0.80,0
1737,2845.03,16.85,280.69,33,7650,653,102,50,606.29,5,0.90,0
1738,6738.58,16.85,349.58,0,14000,645,104,44,755.09,10,0.77,0
1739,8572.67,16.83,319.16,0,13775,594,108,49,689.39,14,0.71,0
1740,5712.04,16.82,254.91,0,10575,636,104,48,550.61,11,0.77,0
1741,4852.91,16.84,397.37,0,15775,676,104,49,858.32,6,0.88,0
1742,2549.43,16.82,280.7,131,9325,659,85,44,606.31,4,0.91,0
1743,7558.68,16.86,345.2,5,18600,632,1584,43,745.63,11,0.74,0
1744,3404.22,16.85,259.24,0,10025,688,104,44,559.96,6,0.86,0
1745,13499.54,16.85,404.41,19,21900,570,106,50,873.53,18,0.64,0
1746,7423.46,16.84,286.21,33,12000,548,106,56,618.21,13,0.77,0
1747,6065.55,16.84,324.58,5,12975,613,104,20,701.09,9,0.55,0
1748,8767.68,16.82,326.99,0,15675,606,104,25,706.30,14,0.44,0
1749,4479.37,16.78,396.9,12,18950,514,108,54,857.30,5,0.91,0
1750,9097.81,16.81,347.96,0,16850,653,104,26,751.59,13,0.50,0
1751,5657.78,16.92,315.89,0,13000,545,96,54,631.78,10,0.81,0
1752,5488.7,16.71,485.26,0,25300,660,98,21,1048.16,5,0.76,0
1753,3295.84,16.83,305.58,75,12525,597,108,23,660.05,5,0.78,0
1754,6451.63,16.84,303.57,19,12675,660,108,27,655.71,11,0.59,0
1755,5894.79,16.81,228.62,0,11775,736,104,46,493.82,13,0.72,0
1756,6094.68,16.85,292.81,27,14050,606,99,27,632.47,10,0.63,0
1757,8431.24,16.83,357.55,0,18925,569,104,43,772.31,12,0.72,0
1758,8746.25,16.82,303.89,27,13550,642,105,26,656.40,15,0.42,0
1759,10500.81,16.82,377.99,0,17000,641,104,22,816.46,14,0.36,0
1760,13689.55,16.8,369.79,54,14150,636,111,19,798.75,20,-0.05,0
1761,12830.48,16.8,397.92,0,22000,612,111,21,859.51,17,0.19,0
1762,8183.59,16.78,322.76,19,17125,603,104,23,697.16,13,0.43,0
1763,3626.25,16.97,376.97,0,18500,630,104,48,814.26,5,0.90,0
1764,3630.52,16.84,446.35,0,21800,646,106,19,964.12,4,0.79,0
1765,3426.37,16.95,300.61,0,15625,565,104,48,649.32,6,0.88,0
1766,8978.34,16.79,312.07,0,18050,566,107,27,674.07,15,0.44,0
1767,10504.19,16.83,391.86,0,18300,605,106,26,846.42,14,0.46,0
1768,1376.39,16.85,360.53,0,15050,672,104,33,778.74,2,0.94,0
1769,2903.68,16.87,302.88,0,14775,684,105,50,654.22,5,0.90,0
1770,9616.97,16.84,297.14,68,14925,618,108,55,641.82,17,0.69,0
1771,2568.75,16.8,333.77,0,17900,709,104,25,720.94,4,0.84,0
1772,3991.07,16.92,284.47,0,11225,603,96,26,568.94,7,0.73,0
1773,7251.87,16.84,300.72,40,11375,606,108,38,649.56,12,0.68,0
1774,20874.82,16.81,493.66,103,28000,533,108,51,1066.31,23,0.55,0
1775,1178.22,16.85,277.91,5,12200,631,102,31,600.29,2,0.94,0
1776,8970.16,16.89,425.41,0,15325,754,104,23,918.89,11,0.52,0
1777,4506.28,16.91,302.53,0,9525,713,104,25,653.46,7,0.72,0
1778,10265.62,16.82,421.1,0,26500,634,106,17,909.58,12,0.29,0
1779,5437.77,16.81,321.9,157,13500,544,1598,25,695.30,8,0.68,1
1780,3168.71,16.84,254.46,12,8975,617,111,21,549.63,6,0.71,0
1781,4563.55,16.86,237.43,0,12650,758,104,51,512.85,10,0.80,0
1782,2529.62,16.84,300.72,5,16650,570,107,44,649.56,4,0.91,0
1783,8417.56,16.94,381.8,5,18625,541,106,26,824.69,11,0.58,0
1784,9514.89,16.84,338.85,117,12725,598,108,24,731.92,14,0.42,0
1785,1208.73,16.81,294.29,0,11350,616,99,24,635.67,2,0.92,0
1786,6845.72,16.9,260.98,0,9600,652,104,56,563.72,13,0.77,0
1787,7684.59,16.84,321.27,0,12050,775,104,53,693.94,12,0.77,0
1788,7854.47,16.84,296.04,0,15075,678,109,49,639.45,14,0.71,0
1789,3614.53,16.84,254.11,5,11500,694,106,23,548.88,7,0.70,0
1790,2954.39,16.87,271.14,33,11350,589,98,24,585.66,5,0.79,0
1791,10793.34,16.86,366.83,0,17750,668,104,32,792.35,15,0.53,0
1792,3817.92,16.83,317.77,0,16850,590,1501,23,686.38,6,0.74,0
1793,2696.51,16.83,267.72,0,11550,583,104,23,578.28,5,0.78,0
1794,6080.08,16.83,319.14,0,15825,659,104,37,689.34,9,0.76,0
1795,8447.23,16.8,354.37,0,18450,618,104,20,765.44,12,0.40,0
1796,4813.37,16.88,275.23,0,11100,659,104,45,594.50,9,0.80,0
1797,10435.78,16.66,364.4,0,20000,712,104,22,787.10,15,0.32,0
1798,10509.59,16.86,389.55,0,18000,582,104,22,841.43,14,0.36,0
1799,6755,16.85,262.21,0,11000,641,104,47,566.37,13,0.72,0
1800,6610.21,16.83,271.81,0,12925,625,104,48,587.11,12,0.75,0
1801,5051.47,16.84,270.62,0,12000,608,104,23,584.54,9,0.61,0
1802,9705.61,16.85,323.3,0,19075,551,108,53,698.33,16,0.70,0
1803,10901.7,16.95,310.63,5,15925,654,108,20,670.96,19,0.05,0
1804,5278.73,16.58,190.63,0,11025,580,99,50,411.76,14,0.72,0
1806,7198.19,16.84,382.29,110,16000,561,104,22,825.75,9,0.59,0
1807,6612.48,16.77,336.57,5,18600,662,104,26,726.99,10,0.62,0
1808,6998.74,16.79,392.8,0,24025,587,104,20,848.45,9,0.55,0
1809,5042.62,16.81,275.15,5,19150,490,104,23,594.32,9,0.61,0
1810,4211.52,16.86,289.29,0,10650,654,104,21,624.87,7,0.67,0
1811,7491.22,16.82,375.83,0,19500,600,104,46,811.79,10,0.78,0
1812,3903.82,16.85,259.33,0,10700,571,104,52,560.15,7,0.87,0
1813,2576.75,16.89,294.05,89,11550,592,94,52,635.15,4,0.92,0
1814,8099.69,16.71,362.84,0,17725,687,104,45,783.73,11,0.76,0
1815,5142.09,16.78,256.37,0,9950,689,99,48,553.76,10,0.79,0
1816,3778.2,16.86,244.62,0,9750,621,104,50,528.38,8,0.84,0
1817,9721.04,16.9,332.58,0,16525,681,104,50,718.37,15,0.70,0
1818,7461.1,16.82,376.65,0,16150,736,104,51,813.56,10,0.80,0
1819,5217.89,16.86,284.56,0,11550,736,104,23,614.65,9,0.61,0
1820,1757.27,16.83,286.32,19,11275,594,102,31,618.45,3,0.90,0
1821,8897.52,16.82,330.1,0,17725,547,104,28,713.02,14,0.50,0
1822,1680.79,16.84,230.42,222,9000,491,95,69,497.71,3,0.96,0
1823,6384.94,16.82,279.6,40,12200,568,108,31,603.94,12,0.61,0
1824,7153.76,16.82,271.63,76,7650,641,108,987,586.72,13,0.99,0
1825,9518.53,16.84,332.84,0,11950,678,104,18,718.93,15,0.17,0
1826,8679.08,16.87,317.78,0,14650,700,104,28,686.40,14,0.50,0
1827,5980.62,16.83,281.42,54,10600,603,104,70,607.87,11,0.84,0
1828,5713.53,16.9,337.5,5,14900,590,105,32,729.00,8,0.75,0
1829,7742.17,12.49,262.53,0,20325,470,61,85,262.53,35,0.59,0
1830,6166.32,12.99,185.5,0,8950,497,66,75,185.50,41,0.45,0
1831,10547.59,16.99,318.89,0,15700,670,72,73,318.89,45,0.38,0
1833,8318.7,17.99,306.77,15,11850,530,60,49,306.77,35,0.29,0
1835,10923.72,10.99,380.09,1,17700,626,60,136,380.09,34,0.75,0
1843,12742.58,17.99,397.09,3,15425,502,67,1657,397.09,44,0.97,0
1844,17424.01,16.07,688.1,0,18975,602,63,139,688.10,31,0.78,0
1847,10277.45,20.73,470,16,11150,561,59,67,470.00,28,0.58,0
1848,8817.76,22.58,448.79,0,11350,580,54,49,448.79,25,0.49,0
1849,5663.9,20.46,338.79,0,7275,694,50,72,338.79,20,0.72,0
1851,5638.19,18.24,309.99,35,4425,471,66,57,309.99,21,0.63,0
1852,5291.79,18.43,315.81,102,6575,678,72,49,315.81,20,0.59,0
1853,7230.88,18.24,368.53,0,9925,696,74,61,368.53,23,0.62,0
1854,8877.53,18.43,292.06,0,8500,655,74,48,292.06,41,0.15,0
1855,4715.01,18.43,345.77,9,6075,633,72,70,345.77,15,0.79,0
1856,8991.5,18.43,314.36,0,8200,554,74,57,314.36,38,0.33,0
1857,2446.57,18.43,292.73,0,4350,688,72,68,292.73,9,0.87,0
1858,7269.77,18.43,276.98,0,7725,735,73,55,276.98,34,0.38,0
1859,6877.32,18.24,374.35,19,9675,629,72,67,374.35,22,0.67,0
1860,8645.36,18.24,360.23,32,8175,561,72,63,360.23,30,0.52,0
1861,6872.48,18.24,329.79,2,9225,478,75,87,329.79,25,0.71,0
1862,4546.5,18.24,305.42,3,8175,628,72,110,305.42,17,0.85,0
1863,8319.1,18.43,334.46,0,9050,649,72,44,334.46,32,0.27,0
1864,6378.88,18.4,339.22,0,9375,679,72,51,339.22,22,0.57,0
1865,5265,16.9,379.04,0,5975,553,75,162,379.04,16,0.90,0
1866,3714.18,18.43,275.54,0,5600,629,72,158,275.54,15,0.91,0
1867,8217.64,18.24,353.28,2,10800,669,72,61,353.28,29,0.52,0
1869,17370.75,12.99,459.41,0,25475,548,72,109,459.41,49,0.55,0
1870,10608.36,20.9,590.23,149,9125,575,47,97,590.23,22,0.77,1
1871,4957.32,27.9,297.35,0,4125,619,50,29,297.35,21,0.28,0
1872,8383.51,20.9,407.09,0,10325,577,60,49,407.09,26,0.47,0
1874,8450.16,24.9,400.99,11,11400,640,60,55,400.99,28,0.49,0
1875,15851.22,21.9,581.43,0,15375,608,66,43,581.43,38,0.12,0
1876,9022.4,17.49,293.51,0,9375,549,62,149,293.51,41,0.72,0
1877,12724.77,11,360.39,0,11300,625,74,73,360.39,43,0.41,0
1879,8550.18,21.99,492.6,2,8525,612,55,57,492.60,21,0.63,0
1880,3055.76,25,203.27,75,3350,561,43,59,203.27,18,0.69,0
1881,6465.71,12.99,174.34,18,12125,558,68,60,174.34,48,0.20,0
1882,5699.41,24.99,158.68,0,8075,649,132,66,317.36,23,0.65,0
1883,4620.93,24.5,136.71,62,3725,584,135,43,295.29,19,0.56,0
1884,5910.1,18.4,146.21,0,7825,514,140,26,315.81,22,0.15,0
1885,8200.15,18.4,174.21,6,10700,566,154,28,376.29,27,0.04,0
1886,3950.61,18.24,121.9,0,6475,656,132,47,263.30,17,0.64,0
1887,10503.3,24.99,205.07,0,8750,486,138,50,442.95,33,0.34,0
1888,6276.3,24.99,164.24,0,5625,572,135,48,354.76,22,0.54,0
1889,7163.76,24.99,171.77,0,6600,644,135,50,371.02,25,0.50,0
1890,8753.98,24.86,200.95,0,8875,567,132,48,434.05,26,0.46,0
1891,8035.87,18.25,151.07,0,8500,604,158,48,326.31,31,0.35,0
1892,10121.69,25,392.96,0,7600,636,68,108,392.96,37,0.66,0
1893,6707.34,19.99,152.73,0,8900,497,158,24,329.90,25,-0.04,0
1894,6625.22,24.99,179.97,20,8825,543,134,49,388.74,21,0.57,0
1895,9037.09,24.08,197.17,53,7825,580,158,56,425.89,28,0.50,0
1896,8174.05,25,508.44,156,8875,573,39,103,508.44,20,0.81,1
1897,10331.46,24.82,183.95,52,7025,621,138,48,397.33,38,0.21,0
1898,5641.03,18.4,185.08,0,10650,703,132,46,399.77,16,0.65,0
1899,10573.83,13.99,309.25,0,12825,599,66,92,309.25,44,0.52,0
1900,11230.93,17.99,338.76,6,11700,489,66,103,338.76,46,0.55,0
1903,8576.14,17.99,244.4,0,11125,489,72,101,244.40,50,0.50,0
1904,6398.48,15.49,218.98,0,10850,543,60,102,218.98,37,0.64,0
1905,14514.02,13.99,367.94,0,14825,546,72,102,367.94,53,0.48,0
1906,8412.42,17.99,248.18,10,9050,514,66,105,248.18,48,0.54,0
1907,11938.02,17.99,326.96,12,10375,592,72,105,326.96,53,0.50,0
1908,18143.73,17.29,474.39,0,19375,546,74,101,474.39,56,0.45,0
1911,10460.63,12.99,289.38,0,10300,691,66,109,289.38,46,0.58,0
1913,23155.89,13.99,596.03,0,32725,558,72,101,596.03,52,0.49,0
1915,5271.52,28,369.16,53,3750,516,34,111,369.16,18,0.84,0
1916,5972.61,28,378.94,15,5450,436,37,110,378.94,20,0.82,0
1917,4732.9,28,430.63,0,5425,639,36,47,430.63,13,0.72,0
1921,2236.19,24.45,336.01,1113,3600,486,41,101,336.01,7,0.93,1
1922,1566.08,18.95,327.97,1049,4425,595,54,103,327.97,5,0.95,1
1923,5660.33,22.95,304.67,1172,2775,544,57,1702,304.67,23,0.99,1
1925,2044.23,22.95,379.71,581,4075,480,48,98,379.71,6,0.94,1
1927,1997.04,17.99,178.74,18,4575,500,36,107,178.74,12,0.89,0
1928,12824.42,15.99,341.9,0,12625,513,72,107,341.90,52,0.51,0
1929,14699.04,14.26,390.58,0,15675,533,72,1710,390.58,50,0.97,0
1930,2163.55,25,293.38,981,2250,511,42,106,293.38,8,0.92,1
1931,10585.27,17.49,328.07,11,11325,500,61,95,328.07,44,0.54,0
1932,5247.44,20.99,218.9,0,5675,449,50,107,218.90,31,0.71,0
1933,1260.41,17.95,271.93,0,3925,397,24,106,271.93,5,0.95,0
1934,5482.71,20.99,310,3,7250,531,49,101,310.00,21,0.79,0
1935,1645.91,20.99,272.01,0,5100,585,38,106,272.01,6,0.94,0
1937,2505.81,20.99,200,17,3275,597,42,101,200.00,14,0.86,0
1938,1059.61,17.89,206.64,0,6050,607,45,91,206.64,5,0.95,0
1940,6250.65,24.1,410,13,5475,453,42,80,410.00,18,0.78,0
1941,2617.05,24.28,365,0,3625,434,40,107,365.00,8,0.93,0
1942,2641.08,24.57,385,0,3925,543,35,106,385.00,7,0.93,0
1943,6201.67,24.11,374,1,4625,463,47,91,374.00,20,0.78,0
1944,3457.01,24.5,445,28,4475,497,37,48,445.00,9,0.81,0
1945,4347.39,24.43,405,0,2900,520,36,68,405.00,12,0.82,0
1946,6223.33,24.1,470,0,5500,542,47,65,470.00,16,0.75,0
1947,3778.53,24.28,395,0,4225,584,42,62,395.00,11,0.82,0
1948,6652.32,20.18,472,38,6800,466,41,45,472.00,16,0.64,0
1949,4797.38,24.26,405,0,3800,457,39,43,405.00,14,0.67,0
1950,8196.67,22.65,400,582,3025,509,40,103,400.00,26,0.75,1
1951,11673.6,24.03,465,613,5750,650,43,113,465.00,35,0.69,1
1952,3294.91,24.34,415,0,5625,547,40,103,415.00,9,0.91,0
1953,4117,24.18,410,6,5300,537,42,103,410.00,11,0.89,0
1954,1970.68,20.5,385,0,3075,501,42,94,385.00,5,0.95,0
1955,5483.83,24.36,435,50,5125,507,39,47,435.00,15,0.68,0
1956,9346.08,24.41,200,601,3475,547,75,20,432.00,29,-0.45,1
1957,4040.76,20.56,225,22,6025,577,84,22,486.00,9,0.59,0
1958,4048.77,24.32,405,3,2625,531,38,132,405.00,11,0.92,0
1959,7682.54,22.95,250,0,9975,518,97,23,540.00,17,0.26,0
1961,4691.75,24.25,395,0,4375,646,39,42,395.00,14,0.67,0
1962,1707.62,22.5,250,33,5875,535,90,58,540.00,3,0.95,0
1963,5440.98,24.04,400,0,5575,491,44,58,400.00,16,0.72,0
1964,5290.15,24.35,410,0,3975,481,41,105,410.00,15,0.86,0
1965,3042.43,20.67,430,0,4250,508,39,49,430.00,8,0.84,0
1966,4427.17,20.6,220,0,7025,495,81,53,440.00,11,0.79,0
1967,3183.89,24.64,375,11,3325,611,34,145,375.00,9,0.94,0
1968,1369.76,24.4,400,41,3875,475,37,132,400.00,4,0.97,0
1970,4550.9,24.2,397,0,4975,476,43,40,397.00,13,0.68,0
1971,10083.12,24.26,190,569,4300,546,81,54,410.40,34,0.37,1
1972,8196.08,24.36,385,594,2775,541,39,72,385.00,28,0.61,1
1973,10339.28,24.39,455,595,4675,528,36,104,455.00,31,0.70,1
1975,4200.43,24.41,205,0,4775,589,79,60,442.80,11,0.82,0
1976,1435.25,24.49,395,0,2450,525,34,130,395.00,4,0.97,0
1977,1522.64,24.76,415,61,3675,568,27,130,415.00,4,0.97,0
1980,13091.17,13.89,336.68,0,13700,473,72,143,336.68,52,0.64,0
1981,13534.42,17.99,427.4,25,14750,455,60,149,427.40,43,0.71,0
1982,14821.56,13.54,361.23,18,15450,606,72,116,361.23,55,0.53,0
1983,10722.22,19,371.66,91,6825,602,60,121,371.66,39,0.68,0
1984,21929.63,18.24,612.8,0,19700,554,75,66,612.80,52,0.21,0
1985,17542.39,18,514.02,0,12925,500,75,62,514.02,48,0.23,0
1986,7471.47,18,307.92,0,6950,575,59,50,307.92,30,0.40,0
1987,8039.04,23.95,455.88,0,9400,621,49,66,455.88,22,0.67,0
1988,4313.78,22,444.61,0,4825,599,50,69,444.61,11,0.84,0
1989,9683.36,16.95,625.88,0,11525,589,50,62,625.88,18,0.71,0
1990,15891,13.9,527.19,0,16900,581,60,60,527.19,37,0.38,0
1991,5794.36,16,200.5,0,6100,589,89,29,433.08,15,0.48,0
1993,12951.3,13.9,493.85,0,12050,447,52,71,493.85,31,0.56,0
2000,3419.87,15.49,212.45,0,6450,571,36,62,212.45,18,0.71,0
2001,12862.56,16.86,389.54,110,14600,531,108,33,841.41,17,0.48,0
2002,3109.14,16.85,323.9,0,7925,699,104,28,699.62,5,0.82,0
2005,5671.54,17.99,267.85,0,9700,533,91,30,578.56,11,0.63,0
2006,9797.1,16.79,355.22,27,16425,520,104,26,767.28,14,0.46,0
2007,13793,16.79,355.69,5,18000,504,1518,31,768.29,21,0.32,0
2011,8937.8,16.9,438.21,61,17125,551,110,28,946.53,10,0.64,0
2012,11811.32,16.78,376.69,0,20775,584,104,33,813.65,16,0.52,0
2016,16743.15,16.84,397.04,89,16000,501,107,60,857.61,23,0.62,0
2019,5293.89,16.83,313.84,0,12800,582,104,28,677.89,8,0.71,0
2020,4952.21,16.86,339.03,12,12975,519,104,28,732.30,7,0.75,0
2021,7786.38,16.89,323.16,0,12775,673,104,28,698.03,12,0.57,0
2022,12899.99,16.86,329.33,0,10575,626,109,29,711.35,21,0.28,0
2023,5061.44,16.8,289.62,10,10525,595,114,33,625.58,9,0.73,0
2025,13714.75,15.83,376.13,29,18925,586,107,25,812.44,19,0.24,0
2026,9483.28,16.85,334.33,108,14250,634,108,63,722.15,15,0.76,0
2027,1501.07,16.85,284.7,0,11825,528,104,60,614.95,3,0.95,0
2028,6996.9,16.81,388.89,0,17925,700,104,28,840.00,9,0.68,0
2031,4830.22,16.84,275.01,0,11500,525,101,33,594.02,9,0.73,0
2033,4922.3,16.87,265.47,0,10675,563,104,32,573.42,9,0.72,0
2034,7601.46,16.83,325.42,19,11425,619,95,26,702.91,12,0.54,0
2036,11144.04,16.79,378.27,6,15200,575,111,31,817.06,15,0.52,0
2037,11341.49,16.82,363.16,10,15425,525,106,28,784.43,16,0.43,0
2041,7191.45,16.86,378.71,0,18800,532,104,33,818.01,9,0.73,0
2042,6632.55,16.82,255.12,0,11100,595,104,34,551.06,13,0.62,0
2043,8436.97,16.84,341.37,0,13850,548,104,33,737.36,13,0.61,0
2044,1915.68,16.85,386.16,5,13450,570,100,31,834.11,2,0.94,0
2045,10734.73,16.83,347.99,91,13450,530,106,33,751.66,16,0.52,0
2046,11020.05,16.85,355.69,10,14950,651,104,33,768.29,16,0.52,0
2048,11025.37,16.76,355.81,84,16825,570,104,33,768.55,16,0.52,0
2049,3030.39,16.83,269.69,27,8550,555,104,32,582.53,5,0.84,0
2050,9703.62,16.88,325.45,12,15950,484,110,36,702.97,15,0.58,0
2051,13358.62,16.84,398.1,0,17200,544,104,28,859.90,18,0.36,0
2056,6405.98,16.91,396.14,7,14700,511,104,33,855.66,8,0.76,0
2058,17264.27,16.81,399.08,61,17475,602,108,31,862.01,24,0.23,0
2059,17905.56,16.8,420.16,89,19750,542,109,31,907.55,23,0.26,0
2060,8440.13,16.85,355.37,0,15075,649,104,33,767.60,12,0.64,0
2061,7123.02,16.85,311.83,0,15550,589,104,33,673.55,12,0.64,0
2062,6765.28,16.84,303.57,0,9450,628,106,33,655.71,11,0.67,0
2065,5881.02,16.81,312.07,1,12150,528,104,34,674.07,9,0.74,0
2067,17502.98,16.83,392.17,117,18600,575,108,31,847.09,25,0.19,0
2068,2940.08,16.85,310.27,0,10375,685,104,28,670.18,5,0.82,0
2069,10975.06,16.86,336.66,0,15550,648,104,33,727.19,17,0.48,0
2070,4662.94,16.87,369.67,35,11950,549,1561,29,798.49,6,0.79,0
2071,7318.92,16.82,305.57,61,13250,696,104,25,660.03,12,0.52,0
2073,10409.41,16.82,362.33,0,18700,634,108,33,782.63,15,0.55,0
2074,11939.92,16.83,405.84,5,18125,622,96,31,876.61,15,0.52,0
2081,16797.91,16.85,407.63,62,18625,572,110,34,880.48,22,0.35,0
2083,11691,16.77,294.73,19,18525,582,106,33,636.62,21,0.36,0
2084,5381.07,16.58,213,0,11475,678,106,33,460.08,13,0.61,0
2085,12423.5,17.94,306.59,0,15225,519,104,32,662.23,22,0.31,0
2086,9094.23,16.84,333.75,54,13275,671,108,33,720.90,14,0.58,0
2087,3636.46,16.89,246,0,6700,537,84,33,492.00,8,0.76,0
